"","ID","n","leaf_area"
"1","-IBW319",1,1.883
"2","-ITA615",4,0.334
"3","7IOP353",4,0.246
"4","BFP7532",5,0.25
"5","CDN1360",1,1.388
"6","CDR2940",1,1.248
"7","CDT1995",6,0.273
"8","CDV5627",1,1.624
"9","CDX0783",6,0.272
"10","CEB4412",6,0.257
"11","CEO7752",1,1.431
"12","CES7069",1,1.508
"13","CEW2346",1,1.189
"14","CEX2768",6,0.408
"15","CFA2607",2,1.434
"16","CFB4068",6,0.414
"17","CFE5651",2,1.255
"18","CFF5022",6,0.42
"19","CHE3484",6,0.273
"20","CHF3548",2,1.795
"21","CHI5448",6,0.318
"22","CHL3635",7,0.302
"23","CHM2074",6,0.295
"24","CHP2230",7,0.314
"25","CHQ4133",7,0.292
"26","CHT7439",6,0.293
"27","CHX6151",5,0.3
"28","CIB6617",6,0.305
"29","CIF3022",6,0.325
"30","CIJ7586",6,0.326
"31","CIN9816",6,0.301
"32","CIR6570",5,0.222
"33","CIS1387",1,1.497
"34","CIV4791",6,0.3
"35","CIW4725",1,1.343
"36","CJB7182",1,1.001
"37","CJF5162",1,0.914
"38","CJJ0622",1,1.273
"39","CJN6889",1,1.24
"40","CJR6503",1,1.043
"41","CJV5372",1,1.139
"42","CJZ3996",1,1.097
"43","CKD0876",1,1
"44","CKH9831",1,0.954
"45","CKL3299",1,1.003
"46","CKO9711",1,0.97
"47","CKP7743",1,0.884
"48","CKS9535",1,0.974
"49","CKT6426",1,0.924
"50","HJQ2534",1,2
"51","HKF5303",1,2.201
"52","HKP4793",1,1.449
"53","HKS4355",2,1.955
"54","HKT4103",1,1.766
"55","HKW2228",2,1.473
"56","HKX5029",1,2.465
"57","HLA0922",3,1.999
"58","HLE5701",3,1.398
"59","HLI6292",4,1.23
"60","HLM0412",4,1.19
"61","HLQ7719",4,1.675
"62","HLU5397",2,2.188
"63","HLY3687",1,1.634
"64","HMB5728",6,0.865
"65","HMC6873",8,0.384
"66","HMD1195",2,1.992
"67","HME6591",1,1.637
"68","HMF8430",6,0.623
"69","HMG0528",9,0.362
"70","HMH5968",3,2.134
"71","HMI7053",6,0.706
"72","HMJ6545",5,0.545
"73","HMK3903",7,0.345
"74","HML2807",3,1.656
"75","HMN4092",6,0.566
"76","HMO8896",7,0.351
"77","HMP2717",4,1.674
"78","HMR1825",6,0.784
"79","HMS3075",6,0.399
"80","HMT0616",4,2.335
"81","HMV2479",6,0.696
"82","HMW3682",6,0.382
"83","HMX5610",4,1.441
"84","HMZ4055",9,0.628
"85","HNA5203",5,0.312
"86","HNB4687",2,1.856
"87","HND7536",5,0.461
"88","HNE1218",5,0.306
"89","HNF1379",1,1.89
"90","HNH0773",7,0.396
"91","HNI8800",6,0.395
"92","HNJ2457",1,1.677
"93","HNL9146",6,0.363
"94","HNM0651",6,0.371
"95","HNN4004",1,1.777
"96","HNP2580",9,0.452
"97","HNR9790",1,1.486
"98","HNT4089",8,0.392
"99","HNU1420",2,1.877
"100","HNV9127",1,2.478
"101","HPC6705",6,0.74
"102","HPG2056",7,0.632
"103","HPK5310",8,0.649
"104","HPO6322",8,0.589
"105","HPS5253",8,0.632
"106","HRQ4852",4,0.633
"107","HRU1370",4,0.751
