"","ID","n","leaf_area"
"1","2GQX946",1,1.806
"2","5GRB736",1,2.218
"3","999GRI3",7,0.288
"4","9GTT134",6,0.346
"5","AAB6541",1,0.796
"6","AAG6598",1,1.855
"7","AAN6747",1,1.588
"8","AAU6410",5,0.488
"9","AAV3725",4,0.28
"10","AAW1440",5,0.367
"11","AAX2204",4,0.352
"12","AAZ6777",4,0.269
"13","ABB6711",4,0.296
"14","ABC5262",4,0.319
"15","ABF0520",4,0.263
"16","ABG8659",1,1.323
"17","ABH3267",1,1.436
"18","ABI4514",1,1.864
"19","ABM2693",1,0.989
"20","ABO4397",1,1.012
"21","ABP1347",1,1.321
"22","ABQ3728",1,0.772
"23","ABR9697",1,0.562
"24","ABS9288",1,0.73
"25","ABV8366",1,0.778
"26","ABW2836",1,0.707
"27","ABX2142",1,1.015
"28","ABY8371",1,0.917
"29","ACA7678",1,0.696
"30","ACD1743",5,0.47
"31","ACI5990",4,0.471
"32","ACJ5143",1,1.386
"33","ACK8041",1,0.867
"34","ACR5325",1,0.666
"35","ACY5126",1,1.158
"36","ADA3602",1,0.976
"37","ADB6808",1,1.009
"38","ADC7605",1,1.021
"39","ADE6998",1,0.761
"40","ADF5692",1,1.047
"41","ADH3546",3,0.364
"42","ADJ2129",4,0.514
"43","ADM4191",4,0.521
"44","ADO1230",4,0.462
"45","ADQ3617",5,0.54
"46","ADV0573",1,1.185
"47","ADW1442",1,0.972
"48","ADZ7346",1,1.026
"49","AEA1069",1,0.906
"50","AED8353",1,0.72
"51","AEE6142",1,0.855
"52","AEG7050",1,1.05
"53","AEH2781",1,0.941
"54","AEJ7535",5,0.251
"55","AEK2589",5,0.292
"56","AEL0229",5,0.275
"57","AEN1802",3,0.167
"58","AEO7792",5,0.32
"59","AEQ7314",5,0.293
"60","AES8454",5,0.264
"61","AEU3174",5,0.244
"62","AEV7921",5,0.502
"63","AEW8920",5,0.339
"64","AEX3622",5,0.374
"65","AEZ0394",5,0.534
"66","AFB1345",5,0.48
"67","AFC0620",5,0.413
"68","AFE6197",5,0.62
"69","AFH9174",1,1.094
"70","AFJ8852",5,0.438
"71","AFK1906",1,0.967
"72","AFL0488",1,1.399
"73","AFM4165",1,1.099
"74","AFN4501",1,1.083
"75","AFO2714",1,1.062
"76","AFP7889",1,1.348
"77","AFQ3053",1,1.39
"78","AFS1830",4,0.178
"79","AFT5067",5,0.186
"80","AFU0711",5,0.405
"81","AFV9709",5,0.198
"82","AFW5729",5,0.359
"83","AFX7895",5,0.431
"84","AGB1312",5,0.494
"85","AGC4838",5,0.261
"86","AGD3705",5,0.352
"87","AGE4960",1,1.242
"88","AGL5841",1,0.539
"89","AGS6622",5,0.301
"90","AHG7556",4,0.371
"91","AHN0265",1,0.748
"92","AHU8979",5,0.262
"93","AIB2469",1,1.643
"94","AII1277",4,0.227
"95","AIW6024",1,1.628
"96","AJD9622",1,1.095
"97","AJY6458",5,0.347
"98","AKF2857",4,0.258
"99","AKM6606",4,0.251
"100","AKT3332",5,0.325
"101","ALA5559",5,0.303
"102","ALH5652",5,0.296
"103","ALI8761",5,0.326
"104","ALJ1777",4,0.453
"105","ALK1714",4,0.505
"106","ALO1640",1,1.162
"107","AOJ3965",5,0.253
"108","AOM5737",1,0.72
"109","AON4874",1,1.217
"110","AOW3698",4,0.381
"111","AOX4296",1,1.066
"112","APD8713",1,1.554
"113","APE2661",1,1.339
"114","APF5985",1,0.533
"115","APG1336",4,0.339
"116","API6040",1,1.065
"117","APK1317",4,0.319
"118","APL3179",4,0.421
"119","APM6391",1,1.256
"120","APO6206",4,0.4
"121","APQ6360",5,0.252
"122","APR3410",1,0.906
"123","APS0192",4,0.354
"124","APU7059",5,0.278
"125","APW2833",1,1.115
"126","APZ8166",5,0.363
"127","AQA8489",1,1.691
"128","ASV2292",1,1.254
"129","ATC7414",1,0.634
"130","ATJ1326",1,1.255
"131","AXR6883",4,0.505
"132","AXY9147",1,1.212
"133","AYN1100",1,0.795
"134","AYP1315",1,0.411
"135","AYQ7483",1,1.051
"136","AYR7396",1,1.261
"137","AYS5797",5,0.317
"138","AYT3421",5,0.302
"139","AZI7432",1,1.143
"140","AZJ4672",1,0.962
"141","AZK6290",1,1.737
"142","AZL3512",5,0.239
"143","AZM0987",5,0.307
"144","AZO6032",1,0.911
"145","AZP9943",3,0.181
"146","AZQ5453",5,0.45
"147","AZR3373",5,0.397
"148","AZS6241",1,0.528
"149","AZT7000",5,0.233
"150","AZU2987",4,0.282
"151","AZV8829",5,0.396
"152","BAC5039",1,0.809
"153","BAX7992",1,0.973
"154","BBE7146",1,1.09
"155","BBS0081",1,1.017
"156","BBW4425",1,0.811
"157","BBZ9744",5,0.567
"158","BCN9131",1,1.219
"159","BCU2045",1,0.894
"160","BDB3235",5,0.393
"161","BED7935",5,0.535
"162","BER8661",1,0.629
"163","BFA5836",5,0.468
"164","BFB5881",1,0.963
"165","BFF6491",5,0.436
"166","BFK5509",4,0.205
"167","BFM4068",1,0.659
"168","BFP7532",4,0.178
"169","BFQ2448",4,0.178
"170","BFT0601",5,0.229
"171","BGA4159",5,0.269
"172","BGO0657",5,0.242
"173","BGV6395",5,0.258
"174","BHQ8180",5,0.258
"175","BHX5774",4,0.191
"176","BIE9701",5,0.256
"177","BJG2626",5,0.235
"178","BLD3981",4,0.458
"179","BMF3365",5,0.493
"180","BMM8799",1,0.708
"181","BMW5648",5,0.367
"182","BMY1407",1,0.911
"183","BNO5680",1,1.16
"184","BOQ7171",1,1.385
"185","BPK1988",1,0.844
"186","BQG0752",1,1.315
"187","BRI4581",1,1.09
"188","BRM4203",1,0.76
"189","BRX4744",1,1.278
"190","BSB8614",1,1.054
"191","BSF1709",1,1.396
"192","BSJ4200",1,1.075
"193","BSO2004",1,1.005
"194","BTM7318",1,1.931
"195","BUO2092",1,1.576
"196","BVQ6574",1,1.357
"197","BWL1251",2,2.058
"198","BWS8284",1,1.44
"199","BXE1605",1,1.885
"200","BXG0123",1,1.574
"201","BXO7908",2,1.118
"202","BXU0524",1,1.119
"203","BYP2725",1,1.041
"204","BYW7413",1,1.195
"205","BYX5428",1,1.296
"206","BZD3746",5,0.36
"207","BZK7134",1,1.474
"208","BZR2024",11,0.308
"209","BZY1232",5,0.367
"210","CAF1602",5,0.408
"211","CAM9497",1,1.232
"212","CAT1952",10,0.27
"213","CBA2414",5,0.412
"214","CBH7047",1,1.201
"215","CBO0119",10,0.349
"216","CBV1639",10,0.272
"217","CCC7995",4,0.233
"218","CCJ9084",1,1.334
"219","CCQ5213",15,0.468
"220","CCX8100",10,0.325
"221","CDE5360",6,0.344
"222","CDK6658",1,0.785
"223","CDL4579",6,0.254
"224","CDL7227",1,1.172
"225","CDM4245",1,0.512
"226","CDO4299",1,0.814
"227","CDQ7352",1,0.778
"228","CDS2656",9,0.312
"229","CDS3317",1,0.601
"230","CDU1735",1,0.963
"231","CDW9697",6,0.272
"232","CDY1742",1,1.033
"233","CDZ1862",1,2.289
"234","CDZ3027",1,1.438
"235","CEA5131",6,0.29
"236","CEC3809",1,0.876
"237","CED4525",1,1.228
"238","CEE1173",6,0.284
"239","CEF4511",1,1.124
"240","CEG3302",6,0.404
"241","CEG5840",1,0.622
"242","CEH4834",1,1.582
"243","CEI2750",6,0.273
"244","CEJ3325",1,0.69
"245","CEK6442",1,0.671
"246","CEL6981",1,1.582
"247","CEM3566",6,0.267
"248","CEN2237",1,1.399
"249","CEN6847",1,0.895
"250","CEP7467",1,1.499
"251","CEQ0286",6,0.27
"252","CER5717",1,0.84
"253","CES6784",10,0.312
"254","CET2913",1,1.614
"255","CEU4232",1,2.062
"256","CEU4595",6,0.295
"257","CEV7077",1,0.812
"258","CEY4092",6,0.291
"259","CEZ7078",1,0.822
"260","CFB6419",5,0.404
"261","CFC8005",5,0.217
"262","CFD3359",1,0.858
"263","CFG8683",1,2.039
"264","CFH6234",1,1.081
"265","CFI6684",4,0.285
"266","CFI7141",6,0.237
"267","CFJ0572",6,0.257
"268","CFK6679",1,2.613
"269","CFL0357",1,1.007
"270","CFM1756",6,0.227
"271","CFN3272",1,0.917
"272","CFO5223",1,2.467
"273","CFP3274",1,0.848
"274","CFP4178",10,0.323
"275","CFQ5726",6,0.236
"276","CFR9993",1,0.8
"277","CFS7122",1,2.437
"278","CFT7329",1,1.193
"279","CFU3196",7,0.25
"280","CFV1467",1,0.973
"281","CFW1697",1,1.985
"282","CFW2953",1,1.809
"283","CFX2576",1,1.054
"284","CFY8259",6,0.24
"285","CFZ5736",1,0.843
"286","CGA2365",1,1.988
"287","CGB0227",1,0.843
"288","CGC1831",6,0.217
"289","CGD1517",1,0.964
"290","CGE1318",1,2.062
"291","CGF4072",1,0.935
"292","CGG1499",6,0.239
"293","CGH7911",1,0.631
"294","CGI7909",1,1.623
"295","CGJ3614",1,0.924
"296","CGK5914",6,0.268
"297","CGL5114",1,0.759
"298","CGL6733",10,0.329
"299","CGM5468",1,1.522
"300","CGN0284",1,0.876
"301","CGO9524",6,0.263
"302","CGP6958",1,0.727
"303","CGQ3947",1,0.736
"304","CGR3364",1,2.795
"305","CGR6291",1,1.305
"306","CGS6645",6,0.196
"307","CGT6196",1,0.734
"308","CGU7873",1,0.839
"309","CGV6392",1,0.907
"310","CGW6936",5,0.284
