site;fire_class;drt_treatment;site_type;land_type;plotID;gps_loc;species;plantID;loggerID;date_in;date_out;;;;;;;;
Lygra;None;0;Coastal;Open;3;;Empetrum nigrum;0;94194601;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;1;;Vaccinium vitis idea;0;94194602;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;5;;Vaccinium myrtillus;0;94194603;08/06/2023;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;9,1;;Vaccinium vitis idea;3;94194637;21/04/2023;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;9,1;;Control;1;94194652;21/04/2023;;Broken replace by  95221193;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;8,3;;Vaccinium myrtillus;1;94195202;21/04/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;8,3;;Calluna vulgaris;3;94195204;21/04/2023;;;;;;;;;
Lygra;Mature;0;Coastal;Open;3;;Calluna vulgaris;0;94195207;?;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;7,3;;Empetrum nigrum;4;94195208;21/04/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;8,3;;Empetrum nigrum;5;94195209;21/04/2023;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;8,1;;Calluna vulgaris;2;94195212;21/04/2023;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;7,1;;Vaccinium vitis idea;1;94195213;21/04/2023;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;7,1;;Empetrum nigrum;4;94195214;21/04/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;7,3;;Calluna vulgaris;5;94195216;21/04/2023;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;7,1;;Vaccinium myrtillus;3;94195217;21/04/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;8,3;;Vaccinium vitis idea;3;94195221;21/04/2023;;;;;;;;;
Lygra;None;0;Coastal;Forested;2;;Calluna vulgaris;0;94195222;22/06/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;9,3;;Empetrum nigrum;2;94195224;21/04/2023;;;;;;;;;
Lygra;None;0;Coastal;Forested;2;;Empetrum nigrum;0;94195225;22/06/2023;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;7,1;;Calluna vulgaris;2;94195226;21/04/2023;;;;;;;;;
Lygra;None;0;Coastal;Forested;4;;Vaccinium vitis idea;0;94195228;22/06/2023;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;2,2;;Calluna vulgaris;4;94195234;19/04/2023;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;2,2;;Vaccinium myrtillus;4;94195235;19/04/2023;;data missing;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;2,2;;Vaccinium vitis idea;1;94195237;19/04/2023;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;2,2;;Empetrum nigrum;3;94195238;19/04/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;8,3;;Control;1;94195238;21/04/2023;;;;;;;;;
Lygra;None;0;Coastal;Forested;1;;Empetrum nigrum;0;94195242;22/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Forested;3;;Vaccinium myrtillus;0;94195243;22/06/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;9,3;;Control;1;94195244;21/04/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;9,3;;Calluna vulgaris;5;94195245;21/04/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;9,3;;Vaccinium myrtillus;5;94195246;21/04/2023;;;;;;;;;
Lygra;None;0;Coastal;Forested;1;;Vaccinium vitis idea;0;94195248;22/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Forested;1;;Vaccinium myrtillus;0;94195249;22/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Forested;3;;Calluna vulgaris;0;94195250;22/06/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;7,3;;Control;1;94195257;21/04/2023;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;8,1;;Vaccinium vitis idea;1;94195258;21/04/2023;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;8,1;;Control;1;94195260;21/04/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;7,3;;Vaccinium vitis idea;5;94195262;21/04/2023;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;2,2;;Control;1;94195267;19/04/2023;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;7,3;;Vaccinium myrtillus;1;94195269;21/04/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;4;;Vaccinium vitis idea;0;94200492;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Forested;1;;Calluna vulgaris;0;94200495;22/06/2023;;;;;;;;;
Lygra;;0;Coastal;DroughtNet;9,3;;Vaccinium vitis idea;4;94200496;21/04/2023;;;;;;;;;
Lygra;None;0;Coastal;Forested;2;;Vaccinium myrtillus;0;94200497;08/06/2023;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;7,1;;Control;1;94200499;21/04/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;5;;Vaccinium vitis idea;0;94201722;08/06/2023;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;9,1;;Calluna vulgaris;3;94201725;21/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;2,1;;Calluna vulgaris;1;95221002;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;3,3;;Calluna vulgaris;4;95221003;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;3,3;;Empetrum nigrum;3;95221004;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;2,1;;Vaccinium myrtillus;4;95221007;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;3,3;;Control;1;95221008;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;1,2;;Vaccinium vitis idea;1;95221013;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;1,2;;Empetrum nigrum;5;95221016;19/04/2023;30/04/2024;broken (didnt want o read from it);;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;1,2;;Calluna vulgaris;2;95221017;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;1,2;;Control;1;95221020;19/04/2023;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;1,1;;Vaccinium myrtillus;4;95221021;19/04/2023;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;1,1;;Empetrum nigrum;4;95221031;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;2,1;;Vaccinium vitis idea;1;95221035;19/04/2023;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;1,1;;Calluna vulgaris;5;95221037;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;2,1;;Control;1;95221038;19/04/2023;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;1,1;;Vaccinium vitis idea;4;95221039;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;3,3;;Vaccinium vitis idea;5;95221045;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;2,1;;Empetrum nigrum;1;95221046;19/04/2023;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;1,1;;Control;1;95221055;19/04/2023;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;1,2;;Empetrum nigrum;5;95221150;30/04/2024;;Replace 95221016;;;;;;;
Lygra;None;0;Coastal;Open;4;;Vaccinium myrtillus;0;95221176;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;1;;Empetrum nigrum;0;95221177;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;3;;Calluna vulgaris;0;95221178;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;2;;Vaccinium vitis idea;0;95221179;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;3;;Vaccinium myrtillus;0;95221180;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;5;;Calluna vulgaris;0;95221182;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;1;;Calluna vulgaris;0;95221183;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;2;;Calluna vulgaris;0;95221184;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;2;;Vaccinium myrtillus;0;95221185;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;4;;Calluna vulgaris;0;95221186;08/06/2023;;Missing;;;;;;;
Lygra;None;0;Coastal;Open;5;;Empetrum nigrum;0;95221187;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;2;;Empetrum nigrum;0;95221188;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;4;;Empetrum nigrum;0;95221189;08/06/2023;;;;;;;;;
Lygra;None;0;Coastal;Open;1;;Vaccinium myrtillus;0;95221190;08/06/2023;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
